year, pop
1.966000000000000000e+03,0.000000000000000000e+00
1.967000000000000000e+03,0.000000000000000000e+00
1.968000000000000000e+03,1.200000000000000000e+01
1.969000000000000000e+03,2.000000000000000000e+00
1.970000000000000000e+03,7.600000000000000000e+01
1.971000000000000000e+03,5.900000000000000000e+01
1.972000000000000000e+03,1.350000000000000000e+02
1.973000000000000000e+03,2.690000000000000000e+02
1.974000000000000000e+03,2.830000000000000000e+02
1.975000000000000000e+03,4.060000000000000000e+02
1.976000000000000000e+03,4.310000000000000000e+02
1.977000000000000000e+03,5.700000000000000000e+01
1.978000000000000000e+03,4.600000000000000000e+01
1.979000000000000000e+03,1.340000000000000000e+02
1.980000000000000000e+03,8.400000000000000000e+01
1.981000000000000000e+03,5.400000000000000000e+01
1.982000000000000000e+03,9.500000000000000000e+01
1.983000000000000000e+03,2.700000000000000000e+01
1.984000000000000000e+03,5.100000000000000000e+01
1.985000000000000000e+03,2.700000000000000000e+01
1.986000000000000000e+03,5.600000000000000000e+01
1.987000000000000000e+03,6.600000000000000000e+01
1.988000000000000000e+03,6.200000000000000000e+01
1.989000000000000000e+03,8.200000000000000000e+01
1.990000000000000000e+03,1.640000000000000000e+02
1.991000000000000000e+03,2.050000000000000000e+02
1.992000000000000000e+03,1.400000000000000000e+02
1.993000000000000000e+03,9.100000000000000000e+01
1.994000000000000000e+03,7.800000000000000000e+01
1.995000000000000000e+03,3.600000000000000000e+02
1.996000000000000000e+03,6.400000000000000000e+01
1.997000000000000000e+03,1.150000000000000000e+02
1.998000000000000000e+03,4.600000000000000000e+01
1.999000000000000000e+03,1.580000000000000000e+02
2.000000000000000000e+03,6.200000000000000000e+01
2.001000000000000000e+03,6.700000000000000000e+01
2.002000000000000000e+03,2.500000000000000000e+01
2.003000000000000000e+03,6.300000000000000000e+01
2.004000000000000000e+03,6.300000000000000000e+01
2.005000000000000000e+03,7.100000000000000000e+01
2.006000000000000000e+03,1.900000000000000000e+01
2.007000000000000000e+03,5.000000000000000000e+01
2.008000000000000000e+03,5.300000000000000000e+01
2.009000000000000000e+03,1.900000000000000000e+01
2.010000000000000000e+03,3.100000000000000000e+01
2.011000000000000000e+03,5.400000000000000000e+01
2.012000000000000000e+03,1.100000000000000000e+01
2.013000000000000000e+03,3.000000000000000000e+01
2.014000000000000000e+03,1.400000000000000000e+01
2.015000000000000000e+03,3.600000000000000000e+01
2.016000000000000000e+03,8.200000000000000000e+01
2.017000000000000000e+03,5.800000000000000000e+01
2.018000000000000000e+03,8.900000000000000000e+01
2.019000000000000000e+03,2.000000000000000000e+01
