Family,Common name,Scientific name,2018 IUCN Red List category
Ostriches,Common Ostrich,Struthio camelus,LC
Ostriches,Somali Ostrich,Struthio molybdophanes,VU
Rheas,Greater Rhea,Rhea americana,NT
Rheas,Lesser Rhea,Rhea pennata,LC
Rheas,Puna Rhea,Rhea tarapacensis,NT
Tinamous,Tawny-breasted Tinamou,Nothocercus julius,LC
Tinamous,Highland Tinamou,Nothocercus bonapartei,LC
Tinamous,Hooded Tinamou,Nothocercus nigrocapillus,VU
Tinamous,Grey Tinamou,Tinamus tao,VU
Tinamous,Solitary Tinamou,Tinamus solitarius,NT
Tinamous,Black Tinamou,Tinamus osgoodi,VU
Tinamous,Great Tinamou,Tinamus major,NT
Tinamous,White-throated Tinamou,Tinamus guttatus,NT
Tinamous,Berlepsch's Tinamou,Crypturellus berlepschi,LC
Tinamous,Cinereous Tinamou,Crypturellus cinereus,LC
Tinamous,Tepui Tinamou,Crypturellus ptaritepui,LC
Tinamous,Little Tinamou,Crypturellus soui,LC
Tinamous,Brown Tinamou,Crypturellus obsoletus,LC
Tinamous,Undulated Tinamou,Crypturellus undulatus,LC
Tinamous,Brazilian Tinamou,Crypturellus strigulosus,LC
Tinamous,Grey-legged Tinamou,Crypturellus duidae,NT
Tinamous,Red-legged Tinamou,Crypturellus erythropus,LC
Tinamous,Yellow-legged Tinamou,Crypturellus noctivagus,NT
Tinamous,Black-capped Tinamou,Crypturellus atrocapillus,NT
Tinamous,Western Thicket Tinamou,Crypturellus occidentalis,LC
Tinamous,Eastern Thicket Tinamou,Crypturellus cinnamomeus,LC
Tinamous,Pale-browed Tinamou,Crypturellus transfasciatus,NT
Tinamous,Slaty-breasted Tinamou,Crypturellus boucardi,LC
Tinamous,Choco Tinamou,Crypturellus kerriae,VU
Tinamous,Variegated Tinamou,Crypturellus variegatus,LC
Tinamous,Rusty Tinamou,Crypturellus brevirostris,LC
Tinamous,Bartlett's Tinamou,Crypturellus bartletti,LC
Tinamous,Barred Tinamou,Crypturellus casiquiare,LC
Tinamous,Small-billed Tinamou,Crypturellus parvirostris,LC
Tinamous,Tataupa Tinamou,Crypturellus tataupa,LC
Tinamous,Red-winged Tinamou,Rhynchotus rufescens,LC
Tinamous,Huayco Tinamou,Rhynchotus maculicollis,LC
Tinamous,Taczanowski's Tinamou,Nothoprocta taczanowskii,VU
Tinamous,Ornate Tinamou,Nothoprocta ornata,LC
Tinamous,Chilean Tinamou,Nothoprocta perdicaria,LC
Tinamous,Brushland Tinamou,Nothoprocta cinerascens,LC
Tinamous,Andean Tinamou,Nothoprocta pentlandii,LC
Tinamous,Curve-billed Tinamou,Nothoprocta curvirostris,LC
Tinamous,White-bellied Nothura,Nothura boraquira,LC
Tinamous,Lesser Nothura,Nothura minor,VU
Tinamous,Darwin's Nothura,Nothura darwinii,LC
Tinamous,Spotted Nothura,Nothura maculosa,LC
Tinamous,Chaco Nothura,Nothura chacoensis,LC
Tinamous,Dwarf Tinamou,Taoniscus nanus,EN
Tinamous,Elegant Crested Tinamou,Eudromia elegans,LC
Tinamous,Quebracho Crested Tinamou,Eudromia formosa,LC
Tinamous,Puna Tinamou,Tinamotis pentlandii,LC
Tinamous,Patagonian Tinamou,Tinamotis ingoufi,LC
