,Family name,Family,Subfamily,Common name,Scientific name,2022 IUCN Red List category
0,Struthionidae,Ostriches,,Common Ostrich,Struthio camelus,LC
1,Struthionidae,Ostriches,,Somali Ostrich,Struthio molybdophanes,VU
2,Rheidae,Rheas,,Greater Rhea,Rhea americana,NT
3,Rheidae,Rheas,,Lesser Rhea,Rhea pennata,LC
4,Rheidae,Rheas,,Puna Rhea,Rhea tarapacensis,NT
5,Tinamidae,Tinamous,,Tawny-breasted Tinamou,Nothocercus julius,LC
6,Tinamidae,Tinamous,,Highland Tinamou,Nothocercus bonapartei,LC
7,Tinamidae,Tinamous,,Hooded Tinamou,Nothocercus nigrocapillus,LC
8,Tinamidae,Tinamous,,Grey Tinamou,Tinamus tao,VU
9,Tinamidae,Tinamous,,Solitary Tinamou,Tinamus solitarius,NT
10,Tinamidae,Tinamous,,Black Tinamou,Tinamus osgoodi,VU
11,Tinamidae,Tinamous,,Great Tinamou,Tinamus major,LC
12,Tinamidae,Tinamous,,White-throated Tinamou,Tinamus guttatus,NT
13,Tinamidae,Tinamous,,Berlepsch's Tinamou,Crypturellus berlepschi,LC
14,Tinamidae,Tinamous,,Cinereous Tinamou,Crypturellus cinereus,LC
15,Tinamidae,Tinamous,,Tepui Tinamou,Crypturellus ptaritepui,LC
16,Tinamidae,Tinamous,,Little Tinamou,Crypturellus soui,LC
17,Tinamidae,Tinamous,,Brown Tinamou,Crypturellus obsoletus,LC
18,Tinamidae,Tinamous,,Undulated Tinamou,Crypturellus undulatus,LC
19,Tinamidae,Tinamous,,Brazilian Tinamou,Crypturellus strigulosus,LC
20,Tinamidae,Tinamous,,Grey-legged Tinamou,Crypturellus duidae,LC
21,Tinamidae,Tinamous,,Red-legged Tinamou,Crypturellus erythropus,LC
22,Tinamidae,Tinamous,,Yellow-legged Tinamou,Crypturellus noctivagus,NT
23,Tinamidae,Tinamous,,Black-capped Tinamou,Crypturellus atrocapillus,LC
24,Tinamidae,Tinamous,,Western Thicket Tinamou,Crypturellus occidentalis,LC
25,Tinamidae,Tinamous,,Eastern Thicket Tinamou,Crypturellus cinnamomeus,LC
26,Tinamidae,Tinamous,,Pale-browed Tinamou,Crypturellus transfasciatus,NT
27,Tinamidae,Tinamous,,Slaty-breasted Tinamou,Crypturellus boucardi,VU
28,Tinamidae,Tinamous,,Choco Tinamou,Crypturellus kerriae,VU
29,Tinamidae,Tinamous,,Variegated Tinamou,Crypturellus variegatus,LC
30,Tinamidae,Tinamous,,Rusty Tinamou,Crypturellus brevirostris,LC
31,Tinamidae,Tinamous,,Bartlett's Tinamou,Crypturellus bartletti,LC
32,Tinamidae,Tinamous,,Barred Tinamou,Crypturellus casiquiare,LC
33,Tinamidae,Tinamous,,Small-billed Tinamou,Crypturellus parvirostris,LC
34,Tinamidae,Tinamous,,Tataupa Tinamou,Crypturellus tataupa,LC
35,Tinamidae,Tinamous,,Red-winged Tinamou,Rhynchotus rufescens,LC
36,Tinamidae,Tinamous,,Huayco Tinamou,Rhynchotus maculicollis,LC
37,Tinamidae,Tinamous,,Taczanowski's Tinamou,Nothoprocta taczanowskii,VU
38,Tinamidae,Tinamous,,Ornate Tinamou,Nothoprocta ornata,LC
39,Tinamidae,Tinamous,,Chilean Tinamou,Nothoprocta perdicaria,LC
40,Tinamidae,Tinamous,,Brushland Tinamou,Nothoprocta cinerascens,LC
41,Tinamidae,Tinamous,,Andean Tinamou,Nothoprocta pentlandii,LC
42,Tinamidae,Tinamous,,Curve-billed Tinamou,Nothoprocta curvirostris,LC
43,Tinamidae,Tinamous,,White-bellied Nothura,Nothura boraquira,LC
