,AOU,Common name
0,1770,Black-bellied Whistling-Duck
1,1780,Fulvous Whistling-Duck
2,1760,Emperor Goose
3,1690,Snow Goose
4,1691,(Blue Goose)
5,1700,Ross's Goose
6,1710,Greater White-fronted
7,1730,Brant Bernache
8,1740,(Black Brant)
9,1725,Cackling Goose
10,1720,Canada Goose
11,1782,Mute Swan
12,1810,Trumpeter Swan
13,1800,Tundra Swan
14,20630,Egyptian Goose
15,10210,Muscovy Duck
16,1440,Wood Duck
17,1400,Blue-winged Teal
18,1410,Cinnamon Teal
19,1420,Northern Shoveler
20,1350,Gadwall Canard
21,1360,Eurasian Wigeon
22,1370,American Wigeon
23,1320,Mallard Canard
24,1331,Mexican Duck
25,1330,American Black
26,1340,Mottled Duck
27,1326,hybrid Mallard
28,1430,Northern Pintail
29,1390,Green-winged Teal
30,1470,Canvasback Fuligule
31,1460,Redhead Fuligule
32,1500,Ring-necked Duck
33,1491,Tufted Duck
34,1480,Greater Scaup
35,1490,Lesser Scaup
36,1489,unid. Greater
37,1570,Steller's Eider
38,1580,Spectacled Eider
39,1620,King Eider
40,1590,Common Eider
41,1550,Harlequin Duck
42,1660,Surf Scoter
43,1650,White-winged Scoter
44,1630,Black Scoter
45,1657,unid. scoter
46,1540,Long-tailed Duck
47,1530,Bufflehead Petit
48,1510,Common Goldeneye
49,1520,Barrow's Goldeneye
50,1512,unid. Common
51,1310,Hooded Merganser
52,1290,Common Merganser
53,1300,Red-breasted Merganser
54,1670,Ruddy Duck
55,3110,Plain Chachalaca
56,2920,Mountain Quail
57,2890,Northern Bobwhite
58,2930,Scaled Quail
59,2940,California Quail
60,2950,Gambel's Quail
61,2960,Montezuma Quail
62,3100,Wild Turkey
63,3000,Ruffed Grouse
64,2980,Spruce Grouse
65,3010,Willow Ptarmigan
66,3020,Rock Ptarmigan
67,3040,White-tailed Ptarmigan
68,3090,Greater Sage-Grouse
69,3089,Gunnison Sage-Grouse
70,2970,Dusky Grouse
71,2971,Sooty Grouse
72,2973,unid. Dusky
73,3080,Sharp-tailed Grouse
74,3050,Greater Prairie-Chicken
75,3070,Lesser Prairie-Chicken
76,2881,Gray Partridge
77,3091,Ring-necked Pheasant
78,3095,Indian Peafowl
79,2882,Chukar Perdrix
80,50,Least Grebe
81,60,Pied-billed Grebe
82,30,Horned Grebe
83,20,Red-necked Grebe
84,40,Eared Grebe
85,10,Western Grebe
86,11,Clark's Grebe
87,12,unid. Western
88,3131,Rock Pigeon
89,3140,White-crowned Pigeon
90,3130,Red-billed Pigeon
91,3120,Band-tailed Pigeon
92,3152,African Collared-Dove
93,22860,Eurasian Collared-Dove
94,3151,Spotted Dove
95,3210,Inca Dove
96,3200,Common Ground
97,3201,Ruddy Ground
98,3180,White-tipped Dove
99,3190,White-winged Dove
100,3160,Mourning Dove
101,3830,Smooth-billed Ani
102,3840,Groove-billed Ani
103,3850,Greater Roadrunner
104,3870,Yellow-billed Cuckoo
105,3860,Mangrove Cuckoo
106,3880,Black-billed Cuckoo
107,3875,unid. Yellow-billed
108,4210,Lesser Nighthawk
109,4200,Common Nighthawk
110,4201,Antillean Nighthawk
111,4205,unid. Lesser
112,4206,unid. Common
113,4190,Common Pauraque
114,4180,Common Poorwill
115,4160,Chuck-will's-widow Engoulevent
116,4171,Eastern Whip-poor-will
117,4172,Mexican Whip-poor-will
118,4220,Black Swift
119,4230,Chimney Swift
120,4240,Vaux's Swift
121,4250,White-throated Swift
122,4260,Rivoli's Hummingbird
123,4270,Blue-throated Mountain-gem
124,4370,Lucifer Hummingbird
125,4280,Ruby-throated Hummingbird
126,4290,Black-chinned Hummingbird
127,4295,unid. Ruby-throated
128,4310,Anna's Hummingbird
129,4300,Costa's Hummingbird
130,4360,Calliope Hummingbird
131,4330,Rufous Hummingbird
132,4340,Allen's Hummingbird
133,4335,unid. Rufous
134,4402,unid. hummingbird
135,4320,Broad-tailed Hummingbird
136,4410,Broad-billed Hummingbird
137,4391,Violet-crowned Hummingbird
138,4390,Buff-bellied Hummingbird
139,2111,Ridgway's Rail
140,2110,Clapper Rail
141,2080,King Rail
142,2090,unid. Clapper
143,2120,Virginia Rail
144,2140,Sora Marouette
145,2190,Common Gallinule
146,2210,American Coot
147,2180,Purple Gallinule
148,21930,Purple Swamphen
149,2150,Yellow Rail
150,2160,Black Rail
151,2070,Limpkin Courlan
152,2060,Sandhill Crane
153,2040,Whooping Crane
154,2260,Black-necked Stilt
155,2250,American Avocet
156,2860,American Oystercatcher
157,2870,Black Oystercatcher
158,2700,Black-bellied Plover
159,2720,American Golden-Plover
160,2721,Pacific Golden-Plover
161,2730,Killdeer Pluvier
162,2750,Common Ringed
163,2740,Semipalmated Plover
164,2770,Piping Plover
165,2800,Wilson's Plover
166,2810,Mountain Plover
167,2780,Snowy Plover
168,2610,Upland Sandpiper
169,2680,Bristle-thighed Curlew
170,2650,Whimbrel Courlis
171,2640,Long-billed Curlew
172,2500,Bar-tailed Godwit
173,2510,Hudsonian Godwit
174,2490,Marbled Godwit
175,2830,Ruddy Turnstone
176,2840,Black Turnstone
177,2340,Red Knot
178,2820,Surfbird Bécasseau
179,2600,Ruff Combattant
180,2380,Sharp-tailed Sandpiper
181,2330,Stilt Sandpiper
182,2422,Red-necked Stint
183,2480,Sanderling Bécasseau
184,2430,Dunlin Bécasseau
185,2356,Rock Sandpiper
186,2350,Purple Sandpiper
187,2410,Baird's Sandpiper
188,2420,Least Sandpiper
189,2400,White-rumped Sandpiper
190,2620,Buff-breasted Sandpiper
191,2390,Pectoral Sandpiper
192,2460,Semipalmated Sandpiper
193,2470,Western Sandpiper
194,2429,unid. small
195,2310,Short-billed Dowitcher
196,2320,Long-billed Dowitcher
197,2327,unid. Short-billed
198,2280,American Woodcock
199,2300,Wilson's Snipe
200,2631,Common Sandpiper
201,2630,Spotted Sandpiper
202,2560,Solitary Sandpiper
203,2590,Wandering Tattler
204,2550,Lesser Yellowlegs
205,2555,unid. Greater
206,2580,Willet Chevalier
207,2530,Common Greenshank
208,2540,Greater Yellowlegs
209,2240,Wilson's Phalarope
210,2230,Red-necked Phalarope
211,2220,Red Phalarope
212,360,Pomarine Jaeger
213,370,Parasitic Jaeger
214,380,Long-tailed Jaeger
215,300,Common Murre
216,310,Thick-billed Murre
217,315,unid. Common
218,320,Razorbill Petit
219,270,Black Guillemot
220,290,Pigeon Guillemot
221,230,Marbled Murrelet
222,240,Kittlitz's Murrelet
223,210,Ancient Murrelet
224,160,Cassin's Auklet
225,150,Rhinoceros Auklet
226,140,Horned Puffin
227,120,Tufted Puffin
228,400,Black-legged Kittiwake
229,620,Sabine's Gull
230,600,Bonaparte's Gull
231,551,Black-headed Gull
232,601,Little Gull
233,610,Ross's Gull
234,580,Laughing Gull
235,590,Franklin's Gull
236,570,Heermann's Gull
237,550,Mew Gull
238,540,Ring-billed Gull
239,490,Western Gull
240,530,California Gull
241,510,Herring Gull
242,430,Iceland Gull
243,500,Lesser Black-backed
244,480,Slaty-backed Gull
245,440,Glaucous-winged Gull
246,495,hybrid Western
247,420,Glaucous Gull
248,470,Great Black-backed
249,534,unid. gull
250,730,Aleutian Tern
251,740,Least Tern
252,630,Gull-billed Tern
253,640,Caspian Tern
254,770,Black Tern
255,720,Roseate Tern
256,700,Common Tern
257,710,Arctic Tern
258,690,Forster's Tern
259,650,Royal Tern
260,670,Sandwich Tern
261,660,Elegant Tern
262,634,unid. tern
263,800,Black Skimmer
264,1130,Red-billed Tropicbird
265,110,Red-throated Loon
266,90,Arctic Loon
267,100,Pacific Loon
268,70,Common Loon
269,80,Yellow-billed Loon
270,77,unid. loon
271,1060,Leach's Storm-Petrel
272,860,Northern Fulmar
273,880,Cory's Shearwater
274,900,Manx Shearwater
275,1880,Wood Stork
276,1280,Magnificent Frigatebird
277,1140,Masked Booby
278,1141,Blue-footed Booby
279,1150,Brown Booby
280,1170,Northern Gannet
281,1180,Anhinga Anhinga
282,1220,Brandt's Cormorant
283,1230,Pelagic Cormorant
284,1207,unid. west
285,1190,Great Cormorant
286,1206,unid. Double-crested
287,1200,Double-crested Cormorant
288,1205,unid. Neotropic
