,Family,Common name,Scientific name,2018 IUCN Red List category,2022 IUCN Red List category
0,Ostriches,Common Ostrich,Struthio camelus,LC,LC
1,Ostriches,Somali Ostrich,Struthio molybdophanes,VU,VU
2,Rheas,Greater Rhea,Rhea americana,NT,NT
3,Rheas,Lesser Rhea,Rhea pennata,LC,LC
4,Rheas,Puna Rhea,Rhea tarapacensis,NT,NT
5,Tinamous,Tawny-breasted Tinamou,Nothocercus julius,LC,LC
6,Tinamous,Highland Tinamou,Nothocercus bonapartei,LC,LC
7,Tinamous,Hooded Tinamou,Nothocercus nigrocapillus,VU,LC
8,Tinamous,Grey Tinamou,Tinamus tao,VU,VU
9,Tinamous,Solitary Tinamou,Tinamus solitarius,NT,NT
10,Tinamous,Black Tinamou,Tinamus osgoodi,VU,VU
11,Tinamous,Great Tinamou,Tinamus major,NT,LC
12,Tinamous,White-throated Tinamou,Tinamus guttatus,NT,NT
13,Tinamous,Berlepsch's Tinamou,Crypturellus berlepschi,LC,LC
14,Tinamous,Cinereous Tinamou,Crypturellus cinereus,LC,LC
15,Tinamous,Tepui Tinamou,Crypturellus ptaritepui,LC,LC
16,Tinamous,Little Tinamou,Crypturellus soui,LC,LC
17,Tinamous,Brown Tinamou,Crypturellus obsoletus,LC,LC
18,Tinamous,Undulated Tinamou,Crypturellus undulatus,LC,LC
19,Tinamous,Brazilian Tinamou,Crypturellus strigulosus,LC,LC
20,Tinamous,Grey-legged Tinamou,Crypturellus duidae,NT,LC
21,Tinamous,Red-legged Tinamou,Crypturellus erythropus,LC,LC
22,Tinamous,Yellow-legged Tinamou,Crypturellus noctivagus,NT,NT
23,Tinamous,Black-capped Tinamou,Crypturellus atrocapillus,NT,LC
24,Tinamous,Western Thicket Tinamou,Crypturellus occidentalis,LC,LC
25,Tinamous,Eastern Thicket Tinamou,Crypturellus cinnamomeus,LC,LC
26,Tinamous,Pale-browed Tinamou,Crypturellus transfasciatus,NT,NT
27,Tinamous,Slaty-breasted Tinamou,Crypturellus boucardi,LC,VU
28,Tinamous,Choco Tinamou,Crypturellus kerriae,VU,VU
29,Tinamous,Variegated Tinamou,Crypturellus variegatus,LC,LC
